date,outlet_name,item_name,net_revenue,quantity,brand,wok_id,hour_slot,order_type,basic_amt,void_amt,product_id,day_no,day_of_week
2025-12-01,QAFFEINE HITECH CITY,CAFE LATTE ( HOT),322.0,2,QAFFEINE,QOH0012,16-17,Carry-Out,322,0,8870,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,AMERICANO,476.0,4,QAFFEINE,QOH0012,16-17,Carry-Out,476,0,8877,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CAFE MOCHA ( HOT ),350.0,2,QAFFEINE,QOH0012,16-17,Carry-Out,350,0,8878,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,MARBLE TEA CAKE SLICE,160.0,1,QAFFEINE,QOH0012,16-17,Carry-Out,160,0,8940,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,OREO CHOCOLATE THICK SHAKE,203.0,1,QAFFEINE,QOH0012,16-17,Carry-Out,203,0,9122,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CARDAMOM TEA,139.0,1,QAFFEINE,QOH0012,16-17,Carry-Out,139,0,9135,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,FRENCH CHILLI CHEESE TOASTIE,153.0,1,QAFFEINE,QOH0012,16-17,Carry-Out,153,0,10153,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,WALNUT BROWNIE,153.0,1,QAFFEINE,QOH0012,16-17,Carry-Out,153,0,10155,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,SCHEZWAN CHICKEN WRAP,188.0,1,QAFFEINE,QOH0012,16-17,Carry-Out,188,0,10439,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,LARGE GINGER TEA,139.0,1,QAFFEINE,QOH0012,16-17,Carry-Out,139,0,11299,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,NUTELLA CRUNCHY THICK SHAKE,365.4,2,QAFFEINE,QOH0012,16-17,Carry-Out,406,0,12029,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,ALMOND LATTE,196.0,1,QAFFEINE,QOH0012,16-17,Carry-Out,196,0,14306,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,ALMOND MOCHA,203.0,1,QAFFEINE,QOH0012,16-17,Carry-Out,203,0,14307,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,PANEER AFGHANI SANDWICH,161.6,1,QAFFEINE,QOH0012,16-17,Carry-Out,202,0,14386,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CHICKEN AFGHANI SANDWICH,209.0,1,QAFFEINE,QOH0012,16-17,Carry-Out,209,0,14387,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CLASSIC CHICKEN POTPIE,132.0,1,QAFFEINE,QOH0012,16-17,Carry-Out,132,0,20639,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,DETOX,139.0,1,QAFFEINE,QOH0012,17-18,Carry-Out,139,0,146,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,QAFFEINE WATER,57.14,1,QAFFEINE,QOH0012,17-18,Carry-Out,57.14,0,405,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,EXTRA ESPRESSO SHOT,98.0,2,QAFFEINE,QOH0012,17-18,Carry-Out,98,0,407,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,MOJITO,154.0,1,QAFFEINE,QOH0012,17-18,Carry-Out,154,0,8636,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,FAMOUS COLD COFFEE_P,546.0,3,QAFFEINE,QOH0012,17-18,Carry-Out,546,0,8645,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,GREAT INDIAN FILTER COFFEE REGULAR,147.0,1,QAFFEINE,QOH0012,17-18,Carry-Out,147,0,8824,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),154.0,1,QAFFEINE,QOH0012,17-18,Carry-Out,154,0,8869,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CAFE LATTE ( HOT),161.0,1,QAFFEINE,QOH0012,17-18,Carry-Out,161,0,8870,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,AMERICANO,357.0,3,QAFFEINE,QOH0012,17-18,Carry-Out,357,0,8877,1,MONDAY
